,Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price
0,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000"
1,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900"
2,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900"
3,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900"
4,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000"
5,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900"
6,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000"
7,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000"
8,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900"
9,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900"
10,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000"
11,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900"
12,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900"
13,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900"
14,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000"
15,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900"
16,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000"
17,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000"
18,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900"
19,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900"
20,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000"
21,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900"
22,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900"
23,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900"
24,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000"
25,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900"
26,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000"
27,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000"
28,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900"
29,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900"
